('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         790073 function calls (765848 primitive calls) in 6.190 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      253    0.000    0.000    0.000    0.000 {built-in method builtins.any}
    68/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      190    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.028    0.028 url.py:1(<module>)
      324    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
       64    0.000    0.000    0.002    0.000 typing.py:885(__init__)
      194    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       75    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
       39    0.000    0.000    0.082    0.002 response.py:1151(_handle_chunk)
      414    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      519    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
        1    0.000    0.000    0.895    0.895 connectionpool.py:1(<module>)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       60    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      165    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       58    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
    30/17    0.000    0.000    2.195    0.129 {built-in method builtins.__import__}
      303    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:271(_RandomNameSequence)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       44    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        2    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
        3    0.000    0.000    0.637    0.212 exceptions.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      200    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
        9    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
      264    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      402    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      111    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.159    0.159 css_parser.py:1(<module>)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
        2    0.000    0.000    0.003    0.001 cookies.py:1(<module>)
       19    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      305    0.000    0.000    0.000    0.000 socket.py:732(readable)
      195    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.226    0.226 sessions.py:1(<module>)
        1    0.000    0.000    0.191    0.191 ssl_.py:1(<module>)
      172    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      163    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        2    0.000    0.000    0.949    0.474 connection.py:485(getresponse)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7f41dd177b00}
        2    0.000    0.000    0.915    0.458 client.py:291(_read_status)
       10    0.000    0.000    0.000    0.000 client.py:1292(putheader)
    42/30    0.000    0.000    0.012    0.000 css_parser.py:569(parse_pseudo_class)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
      111    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        2    0.000    0.000    0.031    0.015 client.py:213(_read_headers)
    87/62    0.000    0.000    0.005    0.000 typing.py:508(__getitem__)
        2    0.000    0.000    1.032    0.516 connectionpool.py:592(urlopen)
        1    0.000    0.000    0.009    0.009 ssl.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       40    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
      334    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
        1    0.000    0.000    0.002    0.002 poolmanager.py:1(<module>)
       52    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
