('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         790306 function calls (766059 primitive calls) in 10.760 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      163    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      519    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      324    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        7    0.000    0.000    0.004    0.001 typing.py:2761(_make_nmtuple)
      200    0.000    0.000    0.002    0.000 typing.py:723(<genexpr>)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       52    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      264    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       19    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        5    0.000    0.000    0.001    0.000 request.py:2505(getproxies_environment)
        2    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
  139/137    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       13    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
        1    0.000    0.000    0.024    0.024 url.py:1(<module>)
      176    0.000    0.000    0.009    0.000 _parser.py:98(closegroup)
       39    0.000    0.000    0.091    0.002 response.py:1151(_handle_chunk)
        2    0.000    0.000    0.003    0.001 cookies.py:1(<module>)
        6    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
       44    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.133    0.133 ssl_.py:1(<module>)
      313    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       19    0.000    0.000    0.000    0.000 typing.py:2476(overload)
      402    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
        1    0.000    0.000    0.476    0.476 element.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:271(_RandomNameSequence)
      111    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
      414    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.380    0.380 sessions.py:1(<module>)
        2    0.000    0.000    0.001    0.001 connection.py:369(request)
      195    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       12    0.000    0.000    0.000    0.000 queue.py:122(put)
        1    0.000    0.000    0.002    0.002 poolmanager.py:1(<module>)
       59    0.000    0.000    0.091    0.002 client.py:633(_safe_read)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7fcdd1d33b00}
      309    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    1.307    0.654 connectionpool.py:592(urlopen)
      315    0.000    0.000    0.000    0.000 socket.py:732(readable)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
